,precision,recall,f1-score,support
Gastric cancer,0.7974683544303798,0.7590361445783133,0.7777777777777778,83.0
Non-gastric cancer,0.8969072164948454,0.9157894736842105,0.90625,190.0
accuracy,0.8681318681318682,0.8681318681318682,0.8681318681318682,0.8681318681318682
macro avg,0.8471877854626126,0.8374128091312618,0.8420138888888888,273.0
weighted avg,0.8666748884679198,0.8681318681318682,0.8671906796906796,273.0
