,precision,recall,f1-score,support
Gastric cancer,0.8292682926829268,0.8192771084337349,0.8242424242424242,83.0
Non-gastric cancer,0.9214659685863874,0.9263157894736842,0.9238845144356955,190.0
accuracy,0.8937728937728938,0.8937728937728938,0.8937728937728938,0.8937728937728938
macro avg,0.8753671306346571,0.8727964489537096,0.8740634693390599,273.0
weighted avg,0.8934351733483389,0.8937728937728938,0.89359039910221,273.0
