,precision,recall,f1-score,support
Gastric cancer,0.8311688311688312,0.7710843373493976,0.8,83.0
Non-gastric cancer,0.9030612244897959,0.9315789473684211,0.917098445595855,190.0
accuracy,0.8827838827838828,0.8827838827838828,0.8827838827838828,0.8827838827838828
macro avg,0.8671150278293136,0.8513316423589093,0.8585492227979274,273.0
weighted avg,0.8812038301834219,0.8827838827838828,0.8814970866784338,273.0
