,precision,recall,f1-score,support
Gastric cancer,0.8395061728395061,0.8192771084337349,0.8292682926829268,83.0
Non-gastric cancer,0.921875,0.9315789473684211,0.9267015706806283,190.0
accuracy,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975
macro avg,0.8806905864197531,0.875428027901078,0.8779849316817776,273.0
weighted avg,0.896832462804685,0.8974358974358975,0.8970789989816934,273.0
