,precision,recall,f1-score,support
Gastric cancer,0.7831325301204819,0.7831325301204819,0.7831325301204819,83.0
Non-gastric cancer,0.9052631578947369,0.9052631578947369,0.9052631578947369,190.0
accuracy,0.8681318681318682,0.8681318681318682,0.8681318681318682,0.8681318681318682
macro avg,0.8441978440076094,0.8441978440076094,0.8441978440076094,273.0
weighted avg,0.8681318681318682,0.8681318681318682,0.8681318681318682,273.0
