,precision,recall,f1-score,support
Gastric cancer,0.825,0.7951807228915663,0.8098159509202454,83.0
Non-gastric cancer,0.9119170984455959,0.9263157894736842,0.9190600522193212,190.0
accuracy,0.8864468864468864,0.8864468864468864,0.8864468864468864,0.8864468864468864
macro avg,0.8684585492227979,0.8607482561826252,0.8644380015697832,273.0
weighted avg,0.8854917534969348,0.8864468864468864,0.8858466441320564,273.0
