,precision,recall,f1-score,support
Gastric cancer,0.8072289156626506,0.8072289156626506,0.8072289156626506,83.0
Non-gastric cancer,0.9157894736842105,0.9157894736842105,0.9157894736842105,190.0
accuracy,0.8827838827838828,0.8827838827838828,0.8827838827838828,0.8827838827838828
macro avg,0.8615091946734306,0.8615091946734306,0.8615091946734306,273.0
weighted avg,0.8827838827838828,0.8827838827838828,0.8827838827838828,273.0
