,precision,recall,f1-score,support
Gastric cancer,0.8313253012048193,0.8313253012048193,0.8313253012048193,83.0
Non-gastric cancer,0.9263157894736842,0.9263157894736842,0.9263157894736842,190.0
accuracy,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975
macro avg,0.8788205453392517,0.8788205453392517,0.8788205453392517,273.0
weighted avg,0.8974358974358975,0.8974358974358975,0.8974358974358975,273.0
