,precision,recall,f1-score,support
Gastric cancer,0.6777777777777778,0.7349397590361446,0.7052023121387283,83.0
Non-gastric cancer,0.8797814207650273,0.8473684210526315,0.8632707774798928,190.0
accuracy,0.8131868131868132,0.8131868131868132,0.8131868131868132,0.8131868131868132
macro avg,0.7787795992714026,0.7911540900443881,0.7842365448093105,273.0
weighted avg,0.8183663937762299,0.8131868131868132,0.8152133319732384,273.0
